retroID,Name,HR
bondb001,Barry Bonds,762
aaroh101,Hank Aaron,755
ruthb101,Babe Ruth,714
pujoa001,Albert Pujols,703
rodra001,Alex Rodriguez,696
maysw101,Willie Mays,660
grifk002,Ken Griffey,630
thomj002,Jim Thome,612
sosas001,Sammy Sosa,609
robif103,Frank Robinson,586
mcgwm001,Mark McGwire,583
killh102,Harmon Killebrew,573
palmr001,Rafael Palmeiro,569
jackr001,Reggie Jackson,563
ramim002,Manny Ramirez,555
schmm001,Mike Schmidt,548
ortid001,David Ortiz,541
mantm101,Mickey Mantle,536
foxxj101,Jimmie Foxx,534
mccow101,Willie McCovey,521
thomf001,Frank Thomas,521
willt103,Ted Williams,521
banke101,Ernie Banks,512
mathe101,Eddie Mathews,512
ott-m101,Mel Ott,511
shefg001,Gary Sheffield,509
cabrm001,Miguel Cabrera,507
murre001,Eddie Murray,504
gehrl101,Lou Gehrig,493
mcgrf001,Fred McGriff,493
belta001,Adrian Beltre,477
musis101,Stan Musial,475
starw101,Willie Stargell,475
delgc001,Carlos Delgado,473
jonec004,Chipper Jones,468
winfd001,Dave Winfield,465
cansj001,Jose Canseco,462
dunna001,Adam Dunn,462
cruzn002,Nelson Cruz,459
yastc101,Carl Yastrzemski,452
bagwj001,Jeff Bagwell,449
guerv001,Vladimir Guerrero,449
kingd001,Dave Kingman,442
giamj001,Jason Giambi,440
konep001,Paul Konerko,439
dawsa001,Andre Dawson,438
beltc001,Carlos Beltran,435
gonzj002,Juan Gonzalez,434
jonea002,Andruw Jones,434
ripkc001,Cal Ripken,431
